individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,Focal
Marlene,1950-01-01,Female,,,Independent,,central-north,0
Harper,1952-01-01,Female,,,Independent,,east,0
Garbo,1956-01-01,Female,,,Independent,,west,0
Thornton,1960-01-01,Female,,,Independent,,west,0
Mweya,1962-01-01,Male,,,Independent,,central,0
Sutherland,1963-01-01,Female,,,Independent,,central,0
Sills,1966-01-01,Female,,,Independent,,central-east,0
Brownface,1966-01-01,Male,,,Independent,,central-west,0
Merrill,1967-01-01,Female,,,Independent,,central-north,0
Lita,1968-01-01,Female,,,Independent,,central,0
Fitzgerald,1969-01-01,Female,,,Independent,,central,0
Hare,1969-01-01,Male,Hare-Mother,,Independent,,central,0
Jane,1970-01-01,Female,,,Independent,,central-north,0
Kanawa,1970-01-01,Female,,,Independent,,west-central,0
Monk,1972-01-01,Male,Garbo,Rude,Independent,,central,0
Bartok,1973-01-01,Male,Betty,,Independent,,central,0
Anderson,1974-01-01,Female,,,Independent,,east,0
Aretha,1975-01-01,Female,,,Independent,,central,0
Sarandon,1976-01-01,Female,,,Independent,,central-south,0
Sigourney,1976-01-01,Female,,,Independent,,central,0
Cecilia,1976-01-01,Female,,,Independent,,west,0
Kidman,1977-01-01,Female,,,Independent,,east,0
Leonora,1977-01-01,Female,,,Independent,,central,0
Sarah,1977-01-01,Female,,,Independent,,central,0
Garrison,1977-01-01,Male,LadyDay,,Independent,,west,0
Ornette,1977-01-01,Male,,,Independent,,central,0
Julianne,1978-01-01,Female,,,Independent,,east,0
Violetta,1981-01-01,Female,,,Independent,White socks and gloves(?),east,0
Miles,1981-01-01,Male,,Rude,Independent,,central,0
Senta,1982-01-01,Female,,,Independent,,west,0
Bartoli,1983-01-01,Female,,,Independent,1/1/84,central,0
Basie,1983-01-01,Male,Betty,,Independent,,central,0
Morton,1984-01-01,Male,Hare-Mother,,Independent,,central,0
Jolie,1985-01-01,Female,,,Independent,1/1/88,central,0
Dexter,1985-01-01,Male,,Mweya,Independent,,east,0
Callas,1985-12-01,Female,,,Independent,,central,0
Fleming,1986-01-01,Female,,,Independent,,west,0
Lucia,1986-01-01,Female,,,Independent,,west,0
Rollins,1986-01-01,Male,Kanawa,Pincer,Independent,,west,0
Halle,1987-01-01,Female,Merrill,,Independent,,central-north,0
Richmond,1987-01-01,Male,Garbo,,Independent,,west,0
Rahsaan,1987-01-01,Male,Kundry,Pincer,Independent,,central,0
Garett,1989-01-01,Male,Sutherland,Brownface,Independent,,central,0
Mulligan,1989-01-01,Male,Mulligan-Mother,AyeAye,Independent,,east,0
Rusalka,1990-01-01,Female,,,Independent,,west,0
Carter,1990-01-01,Male,Aretha,,Independent,,central,0
Mansfield,1990-10-01,Female,,,Independent,,west,0
Penelope,1991-01-01,Female,Kidman,,Independent,,west,0
Jackson,1991-01-01,Male,Cecilia,Rude,Independent,,central,0
Ingrid,1991-06-01,Female,,,Independent,7/6/93,central,0
Taylor,1991-06-01,Female,,,Independent,,central-north,0
Binoche,1992-01-01,Female,Julianne,,Independent,,west,0
Renee,1992-01-01,Female,Josta_Kanyawara,,Independent,,west,0
Bacall,1992-04-01,Female,,,Independent,1/1/93,west,0
Cash,1993-01-01,Male,OldVioletta,,Independent,,east,0
Southpaw,1993-01-01,Male,,,Independent,,east,0
Dahlia,1993-05-01,Female,,,Independent,4/1/93,west,0
Porkpie,1994-01-01,Male,,Parker,Independent,,central,1
Pizan,1994-01-01,Female,,,Independent,,west,0
Hutcherson,1994-01-01,Male,Garbo,Parker,Independent,,west,0
Herbie,1994-01-01,Male,,,Independent,,west,0
Carson,1994-04-05,Female,,,Independent,1/1/96,west,0
Amelia,1994-09-20,Female,,,Independent,,central,0
Peterson,1995-01-01,Male,Aretha,Garrison,Independent,,central,1
Hawkins,1995-01-01,Male,Anderson,Hodge,Independent,,east,0
Evans,1996-01-01,Male,Sills,Bartok,Independent,,central-east,1
Wayne,1996-01-01,Male,Kundry,Bartok,Independent,,west,1
Charlize,1996-01-01,Female,,,Independent,,west,0
Lucy,1996-01-01,Female,,,Independent,,east,0
Maya,1996-01-01,Female,Marlene,,Independent,Black face; no notches on ear as of May 2015,west,0
Shire,1996-01-01,Female,,,Independent,,east,0
Samantha,1996-01-01,Female,,,Independent,,west,0
Geraldyn,1996-07-01,Female,,,Independent,11/1/95,west,0
Stella,1996-07-01,Female,,,Independent,,central-north,0
Atwood,1996-07-02,Female,,,Independent,3/1/96,east,0
Django,1997-01-01,Male,Betty,Dizzy,Independent,,central,1
Hicks,1997-01-01,Male,Harper,Hare,Independent,,central-east,1
Fiona,1997-01-01,Female,,,Independent,,central,0
Wangari,1997-01-01,Female,,,Independent,,central-north,0
Wes,1997-06-01,Male,Ma Rainey,Miles,Independent,,west,1
Natalie,1998-01-01,Female,Leonora,Parker,Independent,,central-west,0
Sabin,1998-05-01,Female,,,Independent,,west,0
Haden,1999-01-01,Male,Lita,Rude,Independent,,central,1
Mitchell,1999-01-01,Male,Mulligan-Mother,Ellington,Independent,,east,1
Beryl,1999-01-01,Female,,,Independent,,east,0
Jacki,1999-01-01,Female,,,Independent,,east,0
Christine,1999-03-01,Female,,,Independent,,central,0
Cate,1999-03-10,Female,,,Independent,,east,0
Florence,1999-03-11,Female,,,Independent,,east,0
Sonia,1999-10-07,Female,,,Independent,,west,0
Abrams,1999-12-01,Male,Callas,Ornette,Independent,,central,1
Lovano,1999-12-01,Male,Fitzgerald,Hodge,Independent,,central,1
Wilson,1999-12-01,Male,Kidman,Bartok,Independent,,central,1
Buckner,2000-01-01,Male,Lucia,Hare,Independent,,west,1
Benny,2000-06-01,Male,Cecilia,Garrison,Independent,,west,1
Chopin,2001-01-01,Male,Violetta,Dexter,Independent,,east,1
Anna,2001-01-01,Female,Fleming,,Independent,"black, fluffy",west,0
Leigh,2001-01-01,Female,Sarah,,Independent,,west,0
Beecher,2001-01-01,Female,,,Independent,,west,0
Barron,2001-03-01,Male,Sutherland,Hodge,Independent,,central,1
Khutulun,2001-06-17,Female,,,Independent,,east,0
Hester,2001-10-05,Female,,,Independent,,central,0
Baez,2001-11-01,Female,,,Independent,Wide eared ; white sclera in left eye?; black skin under eyes like Abrams ,central,0
Erroll,2002-01-01,Male,Salome,Hare,Independent,,central,1
Bronte,2002-01-01,Female,Aretha,Pincer,Independent,,east,0
Ruth,2002-03-12,Female,,,Independent,Ears like Harper; sort of mix between rosa and mystery central ; I saw her march 10 at m/15,central,0
Booker,2002-04-15,Male,Sills,Hodge,Independent,,central,1
Susan,2002-05-01,Female,Sigourney,Mweya,Independent,,central,0
Bosko,2003-01-01,Male,Julianne,Lofty,Independent,,east,1
Rosa,2003-10-15,Female,Mansfield,Garrison,Independent,,west,0
Fisher,2003-12-26,Female,,,Independent,,central,0
Renata,2004-03-01,Female,OldVioletta,Lofty,Independent,,west,0
Miliah,2004-09-01,Female,Leonora,Brubeck,Independent,,west,0
Scarlet,2004-09-01,Female,Jolie,Berg,Independent,,central,0
Emmy.Lou,2004-11-01,Female,Lucia,Rollins,Independent,,central-east,0
Murray,2004-11-15,Male,Senta,Miles,Independent,,west,1
BillyBragg,2005-01-01,Male,Rusalka,Morton,Independent,,west,1
Elton,2005-01-01,Male,Kidman,Lofty,Independent,,central-east,1
Jarman,2005-01-01,Male,Callas,Monk,Independent,,central,1
Orff,2005-01-01,Male,Sutherland,Hare,Independent,,central,0
Byrne,2005-04-15,Female,Kundry,Brownface,Independent,,west,0
Tori,2005-08-01,Female,Penelope,Tatum,Independent,,west,0
YoYo,2006-01-01,Male,Cecilia,Garrison,Independent,,west,1
Powell,2006-01-01,Male,Merrill,Berg,Independent,,central,0
PeeWee,2006-02-01,Male,Brunhilde,Mulligan,Independent,,central,1
Ellen,2006-02-01,Female,Bartoli,Dexter,Independent,,west,0
Fleck,2006-06-01,Male,Sarah,Getz,Independent,,central,1
Damien,2006-07-01,Male,Kanawa,Pincer,Independent,,west,1
Margaret,2006-07-01,Female,Halle,Bartok,Independent,,central-north,0
Dylan,2006-07-26,Male,Fitzgerald,Webster,Independent,,central,1
Nelson,2007-01-01,Male,Anderson,Mingus,Independent,,east,0
Gus,2007-02-02,Male,Sills,Berg,Independent,,central-east,1
Cannonball,2007-07-30,Male,Sigourney,Getz,Independent,,central,1
Williams,2007-10-01,Male,Bacall,Richmond,Independent,,west,0
Larson,2007-11-01,Male,Fleming,Miles,Independent,,west,0
Sanger,2008-04-01,Female,Dahlia,Tatum,Independent,,west,0
Freddie,2008-05-01,Male,Binoche,Rollins,Independent,,west,0
Puccini,2008-05-01,Male,Sarandon,Jackson,Independent,,central-south,0
Bach,2008-12-01,Male,Kundry,Morton,Independent,,west,0
Frida,2009-02-01,Female,Aretha,Hodge,Dependent,,central,0
Ava,2009-06-10,Female,Carmen,Miles,Dependent,big belly button,central,0
Clayton,2010-02-01,Male,Ingrid,Jackson,Dependent,,central,0
Susanna,2010-05-01,Female,Amelia,Mulligan,Dependent,,central,0
Josipa,2010-06-01,Female,Julianne,Mingus,Dependent,,east,0
BobiWine,2010-06-20,Male,Violetta,Dexter,Dependent,,east,0
Holland,2010-07-20,Male,Lucia,Jackson,Dependent,,west,0
Eubanks,2010-09-02,Male,Taylor,Bartok,Dependent,,central-north,0
Harriet,2010-11-22,Female,Geraldyn,Hutcherson,Dependent,,west,0
Eleanor,2010-12-01,Female,Charlize,Wes,Dependent,,west,0
Kaija,2010-12-05,Female,Pizan,Peterson,Dependent,,west,0
RichBergl,2010-12-06,Male,Mansfield,Rollins,Dependent,,west,0
Bowie,2010-12-08,Male,Renee,Richmond,Dependent,,west,0
Zawinul,2010-12-12,Male,Jolie,Carter,Dependent,,central,0
Struhsaker,2011-01-08,Male,Senta,Rahsaan,Dependent,,west,0
Silver,2011-03-01,Male,Maya,Garrison,Dependent,,west,0
Valentina,2011-03-03,Female,Quinton,Wes,Dependent,,west,0
Strayhorn,2011-03-07,Male,Natalie,Wes,Dependent,,central-west,0
EttaJames,2011-03-09,Female,Kanawa,Dexter,Dependent,,west,0
Naidu,2011-03-09,Female,Sutherland,Bartok,Dependent,,central,0
Toshi,2011-07-20,Male,Callas,Jackson,Dependent,,central,0
Francoise,2011-08-08,Female,Fiona,Mulligan,Dependent,,west,0
Joya,2011-08-15,Female,Cecilia,Bartok,Dependent,,west,0
Flanagan,2011-10-01,Male,Rusalka,Jackson,Dependent,,west,0
PVT,2011-12-01,Male,Halle,Dolphy,Dependent,,central-north,0
Fricka,2011-12-12,Female,Sigourney,Cash,Dependent,,central,0
Amina,2011-12-20,Female,Anderson,Cash,Dependent,"curved brows, oprhan",east,0
Lucrezia,2012-01-15,Female,Wangari,Jackson,Dependent,,central-north,0
Elvira,2012-02-13,Female,Bacall,Hutcherson,Dependent,,west,0
Kozena,2012-03-12,Female,Penelope,Rahsaan,Dependent,,west,0
Salonen,2012-06-01,Male,Sarah,Ornette,Dependent,,central,0
Septina,2012-10-01,Female,Dahlia,Garrison,Dependent,,west,0
DiDonato,2012-11-01,Female,Fleming,Richmond,Dependent,,west,0
Rodriguez,2013-02-01,Male,Shire,Pincer,Dependent,,east,0
Cedar,2013-04-01,Male,Kidman,Berg,Dependent,,east,0
Nina,2013-05-01,Female,Sabin,Buckner,Dependent,,west,0
Virginia,2013-10-07,Female,Sonia,Peterson,Dependent,,west,0
Nadine,2013-10-17,Unknown,Christine,Cash,Dependent,,central,0
Arundhathi,2013-10-29,Female,Sarandon,Southpaw,Dependent,,central-south,0
Rosalind,2013-12-04,Female,Carson,Morton,Dependent,,west,0
Chingachgook,2014-04-04,Male,Atwood,Mulligan,Dependent,,east,0
Lombard,2014-04-15,Female,Leigh,Herbie Hancock,Dependent,,west,0
Anarkali,2014-04-23,Female,Stella,,Dependent,,central-north,0
Cate.infant1,2014-08-25,Unknown,Cate,,Dependent,,east,0
Tubman,2014-10-04,Female,Geraldyn,Richmond,Dependent,,west,0
Varda,2014-11-15,Female,Ingrid,Peterson,Dependent,,central,0
Herzog,2015-02-05,Male,Bartoli,Jackson,Dependent,,central,0
Denis,2015-04-16,Female,Sills,Jackson,Dependent,,central-east,0
Sufjan,2015-04-21,Male,Binoche,Garrison,Dependent,,west,0
Doudna,2015-04-28,Female,Anna,Buckner,Dependent,,west,0
Muhammad.Ali,2015-06-06,Male,Lita,,Dependent,,central,0
Vigilant,2015-10-26,Female,Beecher,Wes,Dependent,,west,0
Lumumba,2015-11-16,Male,Natalie,,Dependent,,central-west,0
Whitman,2016-02-01,Male,Fleming,,Dependent,,west,0
LadyMurasaki,2016-02-19,Female,Cate,Chopin,Dependent,,east,0
Caceres,2016-03-04,Female,Bacall,Hutcherson,Dependent,,west,0
Chimamanda,2016-03-04,Female,Penelope,Wes,Dependent,,west,0
Biko,2016-04-21,Male,Wangari,,Dependent,,central-north,0
Junot,2016-05-15,Male,Senta,Rollins,Dependent,,west,0
Kabacwezi,2016-10-25,Female,Jolie,Peterson,Dependent,,central,0
Hermione,2016-10-31,Female,Dahlia,Wes,Dependent,,west,0
Jerry,2017-05-07,Male,Charlize,,Dependent,,west,0
Ilithyia,2017-06-10,Female,Pizan,,Dependent,,west,0
