"Individual","Age","Sex","TotalSniffs"
"Abrams",16.2533333333333,"Male",6
"Ava",10.39,"Female",1
"Bach",12.595,"Male",2
"Barron",15.315,"Male",2
"Bartok",42.37,"Male",1
"Basie",34.93,"Male",1
"Beecher",13.97,"Female",1
"Benny",14.8325,"Male",8
"BillyBragg",13.845,"Male",2
"Booker",15.725,"Male",2
"Bosko",16.895,"Male",2
"Brownface",53.1175,"Male",4
"Buckner",15.1633333333333,"Male",3
"Cannonball",11.53625,"Male",8
"Carter",28.3233333333333,"Male",6
"Cash",24.32,"Male",2
"Damien",13.96,"Male",3
"Dexter",30.04,"Male",2
"Django",19.56,"Male",6
"Dylan",12.9666666666667,"Male",6
"Ellen",11.84,"Female",1
"Elton",14.76,"Male",2
"Elvira",6.31,"Female",1
"Erroll",13.68,"Male",5
"EttaJames",7.64,"Female",2
"Evans",20.41,"Male",5
"Fleck",11.42,"Male",1
"Fricka",6.16,"Female",2
"Garett",28.464,"Male",5
"Garrison",39.0216666666667,"Male",6
"Herbie",20.955,"Male",2
"Hicks",20.2275,"Male",4
"Holland",9.47333333333333,"Male",3
"Jackson",24.34,"Male",1
"Joya",10,"Female",1
"Khutulun",16.5,"Female",1
"Larson",13.745,"Male",2
"Lovano",16.2633333333333,"Male",3
"Margaret",11.92,"Female",1
"Marlene",64.84,"Female",1
"Mitchell",16.5075,"Male",12
"Morton",32.8375,"Male",4
"Nadine",7.69,"Unknown",1
"Naidu",3.73,"Female",1
"Nelson",11.14,"Male",1
"Ornette",38.26,"Male",3
"Peterson",21.395,"Male",2
"Porkpie",23.02,"Male",13
"Puccini",9.81,"Male",1
"Rahsaan",28.06,"Male",1
"RichBergl",7.13,"Male",1
"Richmond",30.295,"Male",4
"Rollins",31.3675,"Male",4
"Septina",5.3,"Female",1
"Wayne",19.06,"Male",1
"Wes",19.1971428571429,"Male",21
"Wilson",16.25625,"Male",8
"YoYo",13.79,"Male",5
