Date,Time,Individual,Behavior,Comment,ID2,Data,Location,Alone,Patrol,Drum/Hoot?,Review,Delete,Has Location?
10/14/14,15:49:31,Abrams,Sniff,,,Focal,,,,,,,0
10/16/14,16:56:16,Wilson,Sniff,Ground,,Focal,,,,,,,0
10/16/14,16:56:30,Wilson,Sniff,Was traveling with party but now they are out of sight,,Focal,,1,,,,,0
10/17/14,12:44:05,Mitchell,Sniff,Mulligan only one within 50 m he walked ahead,,Focal,,0,,,,,0
10/18/14,11:55:38,Buckner,Sniff,Alone,,Focal,,1,,,,,0
10/26/14,10:16:17,Porkpie,Sniff,Walking with party,,Focal,,0,,,,,0
10/26/14,11:39:16 AM,"Porkpie,",Sniff,Ground; traveling alone; had just buttress drummed and pant hooted,,AdLib,,1,,1,,,0
10/26/14,13:25:14,Mitchell,Sniff,Mulligan 15m away,,Focal,,0,,,,,0
10/28/14,7:27:44,Abrams,Sniff,Alone,,Focal,,1,,,,,0
10/31/14,8:54:12,Wes,Sniff,Out if mucuso traveling with Richmond and hutcherson around 20m away,,Focal,,0,,,,,0
10/31/14,10:43:27 AM,"Wes,",Sniff,Alone walking south,,AdLib,,1,,,,,0
10/31/14,11:13:18 AM,"Wes,",Sniff,Alone,,AdLib,,1,,,,,0
11/3/14,9:52:24 AM,"Marlene,",Sniff,Traveling with porkpie ; maybe Smelling fruits in ground,,AdLib,,0,,,,,0
11/4/14,11:39:24,Wes,Sniff,In party Wayne garrison near,,Focal,,0,,,,,0
11/4/14,12:05:26 PM,"Wes,",Sniff,Alone,,AdLib,,1,,,,,0
11/6/14,11:11:04 AM,"Richmond,",Sniff,In a large party ; males on the ground ; Kanawa in estrus in the tree above,,AdLib,,0,,,,,0
11/10/14,15:33:01,Django,Sniff,Walking with miles,,Focal,,0,,,,,0
11/13/14,5:59:42 PM,"Erroll,",Sniff,Trunk,,AdLib,,,,,,,0
11/13/14,6:00:04 PM,"Lovano,",Sniff,Trunk,,AdLib,,,,,,,0
11/15/14,12:45:14 PM,"Dizzy,",Sniff,,,AdLib,,,,,,,0
11/23/14,10:29:56 AM,"Hicks,",Sniff,Ground; traveling with porkpie Wilson and Errol,,AdLib,,0,,,,,0
11/23/14,10:31:22 AM,"Wilson,",Sniff,Same spot that hicks smelled; traveling with Errol Wilson and porkpie,,AdLib,,0,,,,,0
11/23/14,10:37:50 AM,"Wilson,",Sniff,Near feces,,AdLib,,,,,,,0
11/23/14,10:39:01 AM,"Wilson,",Sniff,Near feces,,AdLib,,,,,,,0
11/23/14,12:10:06 PM,"Erroll,",Sniff,Travel alone,,AdLib,,1,,,,,0
11/29/14,1:06:13 PM,"Naidu,",Sniff,In proximity to 7+ chimps resting,,AdLib,,0,,,,,0
11/30/14,5:03:07 PM,"Cash,",Sniff,Walking alone,,AdLib,,1,,,,,0
12/8/14,14:40:54,Porkpie,Sniff,Ground; Evans in party but not in sight,,Focal,,0,,,,,0
12/9/14,14:31:35,Herbie,Sniff,Ground ; garrison and Buckner nearby; then piloerect,,Focal,,0,,,,,0
12/9/14,2:32:02 PM,"Garrison,",Sniff,Ground; after herbie ; Buckner and herbie around,,AdLib,,0,,,,,0
12/12/14,16:52:45,Benny,Sniff,Within 20 of Richmond monk and Pizan,,Focal,,0,,,,,0
12/17/14,11:00:06,Peterson,Sniff,Alone,,Focal,,1,,,,,0
12/23/14,2:26:51 PM,"Herbie,",Sniff,Ground ; travel garrison Peterson Beecher headed south,,AdLib,,0,,,,,0
12/23/14,2:27:00 PM,"Garrison,",Sniff,Ground ; traveling with Peterson Beecher herbie heard south,,AdLib,,0,,,,,0
12/23/14,2:42:20 PM,"Beecher,",Sniff,Ground ; on same trail (same spot?) garrison and herbie had sniffed earlier,,AdLib,,0,,,,,0
12/30/14,3:35:09 PM,"Mitchell,",Sniff,Ground; no one <20m,,AdLib,,,,,,,0
1/2/15,10:49:46 AM,"Rollins,",Sniff,Traveling with Garett and Peterson,,AdLib,,0,,,,,0
1/5/15,10:28:03,Benny,Sniff,Near feces ; travel 15 m behind party,,Focal,,0,,,,,0
1/10/15,16:18:32,Barron,Sniff,Ground; carter had been in front but now out of sight ; travel,,Focal,,,,,,,0
1/13/15,13:12:57,Django,Sniff,Traveling with Mweya and dexter,,Focal,,,,,,,0
1/13/15,1:13:37 PM,"Dexter,",Sniff,Ground; travel with dj and Mweya; dj sniffed it first,,AdLib,,0,,,1,,0
1/19/15,5:36:40 PM,"Garrison,",Sniff,Ground; on a patrol for monkeys or something,,AdLib,,,1,,1,,0
1/19/15,5:37:45 PM,"Morton,",Sniff,Ground; on a patrol for monkeys or something,,AdLib,,,1,,1,,0
1/19/15,6:18:30 PM,"Benny,",Sniff,Ground : with large party single file west on 6.5 west of t.5,,AdLib,,0,1,,1,,0
1/19/15,6:49:29 PM,"Dexter,",Sniff,Patrol after hearing. IGE,,AdLib,,0,1,,1,,0
1/19/15,6:49:52 PM,"Garrison,",Sniff,,,AdLib,,,,,,,0
1/19/15,6:50:32 PM,"Morton,",Sniff,,,AdLib,,,,,,,0
1/24/15,2:00:34 PM,,Sniff,Rahsaan ? Traveling west on 6.5; patrol?,,AdLib,,,,,1,,0
1/24/15,2:10:02 PM,,Sniff,,,AdLib,,,,,1,,0
1/24/15,2:33:47 PM,"Rahsaan,",Sniff,Ground ; at back of patrol north of z/6.5,,AdLib,,0,1,,,,0
1/24/15,2:45:09 PM,"Carter,",Sniff,Rahsaan and then carter sniffed ground; on patrol north of 6.4 on z,,AdLib,,,1,,1,,0
1/24/15,2:51:20 PM,"Ornette,",Sniff,Ground; with patrol party taking moment to rest,,AdLib,,0,1,,,,0
1/24/15,3:01:13 PM,"Carter,",Sniff,,,AdLib,,,,,,,0
1/24/15,4:08:55 PM,,Sniff,On patrol multiple sniffers,,AdLib,,0,1,,1,,0
1/24/15,5:36:32 PM,"Wayne,",Sniff,Ground and trunk of tree,,AdLib,,,,,1,,0
2/5/15,2:50:27 PM,"Ornette,",Sniff,Ground; with large party west on -1 near Ellington,,AdLib,,0,,,1,,0
2/6/15,5:37:02 PM,"Porkpie,",Sniff,Ground; Evans monk beryl peewee ; heard other party to south,,AdLib,,0,,,,,0
2/7/15,12:16:22,Wes,Sniff,In a party traveling alone toward calls,,Focal,,0,,1,1,,0
2/10/15,3:07:52 PM,"Mitchell,",Sniff,Ground; tracking with southpaw And Hawkins; Atwood around,,AdLib,,0,,,1,,0
2/23/15,8:06:31 AM,"Garett,",Sniff,Ground; travel just with peewee,,AdLib,,0,,,,,0
2/23/15,8:11:00 AM,"Garett,",Sniff,Ground; travel just with peewee,,AdLib,,0,,,,,0
3/7/15,5:16:10 PM,"Carter,",Sniff,,,AdLib,,,,,,,0
3/8/15,4:20:09 PM,"Wes,",Sniff,15 min ago ; patrol,,AdLib,,0,1,,,,0
3/8/15,4:20:28 PM,"Brownface,",Sniff,Patrol,,AdLib,,0,1,,,,0
3/9/15,14:06:52,Erroll,Sniff,Near dizzy lovano and others travel large party,,Focal,,0,,,,,0
3/13/15,1:03:11 PM,"Benny,",Sniff,Ground; within scattered party,,AdLib,,0,,,,,0
3/13/15,17:59:36,Buckner,Sniff,Ground; alone,,Focal,,1,,,,,0
3/22/15,13:47:43,Abrams,Sniff,Ground; near feces traveling alone,,Focal,,1,,,1,,0
3/26/15,11:42:21,Benny,Sniff,Ground; in party of chimps feeding around m/16,,Focal,,0,,,,,0
4/29/15,9:44:56 AM,"Porkpie,",Sniff,"Ground alone; hearing calls around ( was with Barton earlier in am, passed Basie and dj left going north)",,AdLib,"0.494490,30.421278",1,,,1,,1
4/29/15,10:27:23 AM,"Porkpie,",Sniff,Looks like urine on dry leaves ; porkpie not in party,,AdLib,"0.493448,30.422255",1,,,1,,1
5/4/15,4:13:42 PM,"Jackson,",Sniff,On patrol with 6 others,,AdLib,,0,1,,,,0
5/17/15,10:37:18,Wes,Sniff,Ground; in large party by o13,,Focal,,0,,,,,0
5/17/15,10:37:46,Wes,Sniff,,,Focal,,,,,,,0
5/18/15,2:28:31 PM,"Bartok,",Sniff,Ground ; on EE between 11 and 12.5 in a party on a monkey patrol (?),,AdLib,,0,1,,1,,0
5/19/15,9:13:53 AM,"Mitchell,",Sniff,Ground ; Hawkins and southpaw traveling,,AdLib,,0,,,,,0
5/19/15,9:15:04 AM,"Mitchell,",Sniff,Ground again; sp and Hawkins,,AdLib,"0.489449,30.434434",,,,1,,1
5/19/15,10:35:32,Mitchell,Sniff,"0.485651,30.434699. For the sniff",,Focal,"0.485651,30.434699",,,,1,,1
5/24/15,10:02:13,Evans,Sniff,Ground walking alone by c.25/10.5,,Focal,,1,,,1,,0
6/4/15,12:02:07,Abrams,Sniff,Ground; not in party z,"Halle,",Focal,,1,,,,,0
6/5/15,9:26:28,Lovano,Sniff,"Ground; in party; 0.497081,30.417416",,Focal,"0.494561,30.412133",0,,,,,1
6/16/15,9:09:08,Porkpie,Sniff,"Ground; in small party but 20+m away; 0.497121,30.406985",,Focal,"0.497121,30.406985",0,,,,,1
6/24/15,1:53:22 PM,"Benny,",Sniff,Party of westerns moving north (where centralers a were yeatetday),,AdLib,"0.498129,30.414933",0,,,,,1
6/26/15,18:26:13,Django,Sniff,"Ground; in party( 0.499077,30.417072","Sutherland,",Focal,,0,,,,,0
6/28/15,10:53:29,Buckner,Sniff,"Ground; i. Party but no one visible and all quiet ;0.494755,30.399844",,Focal,"0.494755,30.399844",0,,,,,1
6/29/15,8:13:06,Mitchell,Sniff,"Ground; 0.500768,30.417633 with mulligan Hawkins and southpaw",,Focal,"0.500768,30.417633",0,,,,,1
7/9/15,4:50:40 PM,"Benny,",Sniff,With while party of westerners on patrol??,,AdLib,"0.512083,30.395233",0,1,,1,,1
7/15/15,8:13:21,Mitchell,Sniff,"Ground; 0.486533,30.435919",,Focal,"0.486533,30.435919",,,,,,1
7/15/15,8:17:19,Mitchell,Sniff,"Ground; 0.485848,30.435873",,Focal,"0.485848,30.435873",,,,,,1
7/15/15,1:20:57 PM,"Mitchell,",Sniff,With Basie Hawkins Morton Lucy (mulligan Dexter and others around somewhere ),,AdLib,"0.480753,30.431510",0,,,,,1
7/26/15,4:20:01 PM,"Benny,",Sniff,7.5 closer to z than t.5; alone ; party to west,,AdLib,"0.487759,30.390453",0,,,,,1
7/28/15,13:18:26,Evans,Sniff,"Ground; 0.498525,30.411458",,Focal,"0.498525,30.411458",,,,,,1
7/30/15,9:55:15 AM,"Rollins,",Sniff,Between 7.5 and 6.5 near t.5,,AdLib,,,,,1,,0
8/14/15,7:31:21,Wes,Sniff,"Not in party; 0.494411,30.410279 for first sniff",,Focal,"0.494411,30.410279",1,,,1,,1
8/14/15,7:31:47,Wes,Sniff,,,Focal,,,,,,,0
8/14/15,7:32:09,Wes,Sniff,"0.493833,30.410488 third sniff",,Focal,"0.493833,30.410488",,,,,,1
8/14/15,7:51:02,Wes,Sniff,"0.493271,30.410461 (7:54 ""Two sniffs ago: "")",,Focal,"0.493271,30.410461",,,,1,,1
8/14/15,7:51:22,Wes,Sniff,"0.492941,30.410478",,Focal,"0.492941,30.410478",,,,,,1
