"Date","Time","Individual","DOB","Age","Sex","Sniff","Comment","ID2","Data","Location","Alone","Patrol","Drum.Hoot.","Review","Has.Location."
2014-10-14,"15:49:31","Abrams",1999-12-01,14.87,"Male","1","","","Focal","",NA,NA,NA,NA,0
2014-10-16,"16:56:16","Wilson",1999-12-01,14.87,"Male","1","Ground","","Focal","",NA,NA,NA,NA,0
2014-10-16,"16:56:30","Wilson",1999-12-01,14.87,"Male","1","Was traveling with party but now they are out of sight","","Focal","",1,NA,NA,NA,0
2014-10-17,"12:44:05","Mitchell",1999-01-01,15.79,"Male","1","Mulligan only one within 50 m he walked ahead","","Focal","",0,NA,NA,NA,0
2014-10-18,"11:55:38","Buckner",2000-01-01,14.8,"Male","1","Alone","","Focal","",1,NA,NA,NA,0
2014-10-26,"10:16:17","Porkpie",1994-01-01,20.82,"Male","1","Walking with party","","Focal","",0,NA,NA,NA,0
2014-10-26,"11:39:16 AM","Porkpie",1994-01-01,20.82,"Male","1","Ground; traveling alone; had just buttress drummed and pant hooted","","AdLib","",1,NA,1,NA,0
2014-10-26,"13:25:14","Mitchell",1999-01-01,15.82,"Male","1","Mulligan 15m away","","Focal","",0,NA,NA,NA,0
2014-10-28,"7:27:44","Abrams",1999-12-01,14.91,"Male","1","Alone","","Focal","",1,NA,NA,NA,0
2014-10-31,"8:54:12","Wes",1997-06-01,17.42,"Male","1","Out if mucuso traveling with Richmond and hutcherson around 20m away","","Focal","",0,NA,NA,NA,0
2014-10-31,"10:43:27 AM","Wes",1997-06-01,17.42,"Male","1","Alone walking south","","AdLib","",1,NA,NA,NA,0
2014-10-31,"11:13:18 AM","Wes",1997-06-01,17.42,"Male","1","Alone","","AdLib","",1,NA,NA,NA,0
2014-11-03,"9:52:24 AM","Marlene",1950-01-01,64.84,"Female","1","Traveling with porkpie ; maybe Smelling fruits in ground","","AdLib","",0,NA,NA,NA,0
2014-11-04,"11:39:24","Wes",1997-06-01,17.43,"Male","1","In party Wayne garrison near","","Focal","",0,NA,NA,NA,0
2014-11-04,"12:05:26 PM","Wes",1997-06-01,17.43,"Male","1","Alone","","AdLib","",1,NA,NA,NA,0
2014-11-06,"11:11:04 AM","Richmond",1987-01-01,27.85,"Male","1","In a large party ; males on the ground ; Kanawa in estrus in the tree above","","AdLib","",0,NA,NA,NA,0
2014-11-10,"15:33:01","Django",1997-01-01,17.86,"Male","1","Walking with miles","","Focal","",0,NA,NA,NA,0
2014-11-13,"5:59:42 PM","Erroll",2002-01-01,12.87,"Male","1","Trunk","","AdLib","",NA,NA,NA,NA,0
2014-11-13,"6:00:04 PM","Lovano",1999-12-01,14.95,"Male","1","Trunk","","AdLib","",NA,NA,NA,NA,0
2014-11-23,"10:29:56 AM","Hicks",1997-01-01,17.89,"Male","1","Ground; traveling with porkpie Wilson and Errol","","AdLib","",0,NA,NA,NA,0
2014-11-23,"10:31:22 AM","Wilson",1999-12-01,14.98,"Male","1","Same spot that hicks smelled; traveling with Errol Wilson and porkpie","","AdLib","",0,NA,NA,NA,0
2014-11-23,"10:37:50 AM","Wilson",1999-12-01,14.98,"Male","1","Near feces","","AdLib","",NA,NA,NA,NA,0
2014-11-23,"10:39:01 AM","Wilson",1999-12-01,14.98,"Male","1","Near feces","","AdLib","",NA,NA,NA,NA,0
2014-11-23,"12:10:06 PM","Erroll",2002-01-01,12.89,"Male","1","Travel alone","","AdLib","",1,NA,NA,NA,0
2014-11-29,"1:06:13 PM","Naidu",2011-03-09,3.73,"Female","1","In proximity to 7+ chimps resting","","AdLib","",0,NA,NA,NA,0
2014-11-30,"5:03:07 PM","Cash",1993-01-01,21.91,"Male","1","Walking alone","","AdLib","",1,NA,NA,NA,0
2014-12-08,"14:40:54","Porkpie",1994-01-01,20.93,"Male","1","Ground; Evans in party but not in sight","","Focal","",0,NA,NA,NA,0
2014-12-09,"14:31:35","Herbie",1994-01-01,20.94,"Male","1","Ground ; garrison and Buckner nearby; then piloerect","","Focal","",0,NA,NA,NA,0
2014-12-09,"2:32:02 PM","Garrison",1977-01-01,37.94,"Male","1","Ground; after herbie ; Buckner and herbie around","","AdLib","",0,NA,NA,NA,0
2014-12-12,"16:52:45","Benny",2000-06-01,14.53,"Male","1","Within 20 of Richmond monk and Pizan","","Focal","",0,NA,NA,NA,0
2014-12-17,"11:00:06","Peterson",1995-01-01,19.96,"Male","1","Alone","","Focal","",1,NA,NA,NA,0
2014-12-23,"2:26:51 PM","Herbie",1994-01-01,20.97,"Male","1","Ground ; travel garrison Peterson Beecher headed south","","AdLib","",0,NA,NA,NA,0
2014-12-23,"2:27:00 PM","Garrison",1977-01-01,37.97,"Male","1","Ground ; traveling with Peterson Beecher herbie heard south","","AdLib","",0,NA,NA,NA,0
2014-12-23,"2:42:20 PM","Beecher",2001-01-01,13.97,"Female","1","Ground ; on same trail (same spot?) garrison and herbie had sniffed earlier","","AdLib","",0,NA,NA,NA,0
2014-12-30,"3:35:09 PM","Mitchell",1999-01-01,15.99,"Male","1","Ground; no one <20m","","AdLib","",NA,NA,NA,NA,0
